Date,Margin,Underlying,pnl,pnl_pct
25-01-24,1330527.1,NIFTY,-29827.5,-2.24
29-01-24,1341685.34,MIDCPNIFTY,-41988.75,-3.13
29-01-24,1341685.34,MIDCPNIFTY,-174772.5,-13.03
30-01-24,1163665.95,FINNIFTY,-50886.0,-4.37
31-01-24,1116118.39,BANKNIFTY,-21007.5,-1.88
31-01-24,1116118.39,BANKNIFTY,-20448.75,-1.83
31-01-24,1116118.39,BANKNIFTY,-22897.5,-2.05
01-02-24,993271.85,NIFTY,-15020.0,-1.51
02-02-24,870882.3,SENSEX,-13841.0,-1.59
05-02-24,894273.9,MIDCPNIFTY,14235.0,1.59
06-02-24,907529.07,FINNIFTY,2644.0,0.29
06-02-24,907529.07,FINNIFTY,-18080.0,-1.99
07-02-24,884852.98,BANKNIFTY,-19869.75,-2.25
08-02-24,863081.24,NIFTY,65362.5,7.57
09-02-24,952424.98,SENSEX,-1087.5,-0.11
13-02-24,863577.72,FINNIFTY,-17392.0,-2.01
14-02-24,906692.02,BANKNIFTY,0,0.0
15-02-24,912077.34,NIFTY,17205.0,1.89
15-02-24,912077.34,NIFTY,25567.5,2.8
